Date,Status,Quantity
03/11/2022,Out of stock,0
04/11/2022,Out of stock,0
11/11/2022 02:51:31,Out of stock,0
10/11/2022 19:10:56,Out of stock,0
10/11/2022 20:14:02,Out of stock,0
10/11/2022 20:33:55,Out of stock,0
10/11/2022 21:12:31,Out of stock,0
10/11/2022 21:30:12,Out of stock,0
10/11/2022 21:43:07,Out of stock,0
10/11/2022 21:50:56,Out of stock,0
10/11/2022 22:32:46,Out of stock,0
10/11/2022 22:49:55,Out of stock,0
10/11/2022 23:50:26,Out of stock,0
11/11/2022 01:08:27,Out of stock,0
11/11/2022 03:09:59,Out of stock,0
11/11/2022 04:01:47,,1
11/11/2022 04:52:28,Out of stock,0
11/11/2022 05:41:27,Out of stock,0
11/11/2022 05:50:17,Out of stock,0
11/11/2022 06:17:39,Out of stock,0
11/11/2022 07:29:46,Out of stock,0
11/11/2022 07:48:39,Out of stock,0
11/11/2022 08:47:14,Out of stock,0
11/11/2022 09:12:33,Out of stock,0
11/11/2022 09:31:17,Out of stock,0
11/11/2022 11:11:26,Out of stock,0
11/11/2022 11:48:28,Out of stock,0
11/11/2022 13:20:57,Out of stock,0
11/11/2022 13:58:05,Out of stock,0
11/11/2022 14:38:05,Out of stock,0
11/11/2022 14:48:36,Out of stock,0
11/11/2022 15:13:41,,1
11/11/2022 16:16:36,Out of stock,0
11/11/2022 17:35:35,Out of stock,0
11/11/2022 17:50:01,Out of stock,0
11/11/2022 18:15:44,Out of stock,0
11/11/2022 19:34:24,Out of stock,0
11/11/2022 20:13:25,Out of stock,0
11/11/2022 20:50:08,Out of stock,0
